type	boundary	emissionsSector	economicSector	endUser	source	activity	emissions	energy	emissionsAbatement	natural	unit	bau2018	bau2019	bau2020	bau2021	bau2022	bau2023	bau2024	bau2025	bau2026	bau2027	bau2028	bau2029	znet2018	znet2019	znet2020	znet2021	znet2022	znet2023	znet2024	znet2025	znet2026	znet2027	znet2028	znet2029	bauEnergy2018	bauEnergy2019	bauEnergy2020	bauEnergy2021	bauEnergy2022	bauEnergy2023	bauEnergy2024	bauEnergy2025	bauEnergy2026	bauEnergy2027	bauEnergy2028	bauEnergy2029	znetEnergy2018	znetEnergy2019	znetEnergy2020	znetEnergy2021	znetEnergy2022	znetEnergy2023	znetEnergy2024	znetEnergy2025	znetEnergy2026	znetEnergy2027	znetEnergy2028	znetEnergy2029
emissions	Included	Stationary Energy	Residential	Visitor	Wind	Renewable electricity imported from grid	0	3	981	846	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4016	-4016	-4016	-4016	-4016	-4016	846	846	846	846	846	846	846	846	846	846	846	846	3	3	3	3	3	3	16	16	16	16	16	16
emissions	Included	Stationary Energy	Residential	Visitor	Biomass	Renewable electricity imported from grid	0	0	0	0	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-26	-26	-26	-1014	-1014	-1014	-1014	-1014	-1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3
emissions	Included	Stationary Energy	Commercial	Local	Electricity	Commercial HVAC	8077	25.1	0	6963	MWh	8077	8239	8404	8572	8743	8918	9097	9278	9464	9653	9846	10043	8077	8218	8275	8058	7828	7871	8008	8166	8328	8495	8665	8838	6963	7103	7245	7390	7537	7688	7842	7999	8159	8322	8488	8658	25	26	26	25	24	24	25	25	26	26	27	27
emissions	Included	Stationary Energy	Commercial	Local	Electricity	Commercial Office Equipment and other misc.	2272	7.1	0	1959	MWh	2272	2318	2364	2411	2460	2509	2559	2610	2662	2716	2770	2825	2272	2312	2328	2267	2202	2214	2253	2297	2343	2390	2438	2486	1959	1998	2038	2079	2120	2163	2206	2250	2295	2341	2388	2436	7	7	7	7	7	7	7	7	7	7	8	8
emissions	Included	Stationary Energy	Commercial	Local	Electricity	Commercial Plant and equipment	676	2.1	0	582	MWh	676	689	703	717	731	746	761	776	791	807	823	840	676	687	692	674	655	658	670	683	696	710	725	739	582	594	606	618	630	643	656	669	682	696	710	724	2	2	2	2	2	2	2	2	2	2	2	2
emissions	Included	Stationary Energy	Commercial	Local	Electricity	Commercial Cooking and hot water	3288	10.2	0	2835	MWh	3288	3354	3421	3489	3559	3630	3703	3777	3853	3930	4008	4088	3288	3345	3368	3280	3187	3204	3260	3324	3390	3458	3527	3598	2835	2891	2949	3008	3068	3130	3192	3256	3321	3388	3455	3524	10	10	11	10	10	10	10	10	11	11	11	11
emissions	Included	Stationary Energy	Commercial	Local	Electricity	Commercial Lighting (internal)	2091	6.5	0	1803	MWh	2091	2133	2176	2219	2263	2309	2355	2402	2450	2499	2549	2600	2091	2127	2142	2086	2027	2038	2073	2114	2156	2199	2243	2288	1803	1839	1875	1913	1951	1990	2030	2071	2112	2154	2197	2241	7	7	7	7	6	6	6	7	7	7	7	7
emissions	Included	Stationary Energy	Commercial	Local	Electricity	Commercial Lighting (external)	5035	15.6	0	4340	MWh	5035	5135	5238	5343	5450	5559	5670	5783	5899	6017	6137	6260	5035	5122	5157	5022	4879	4906	4991	5089	5191	5295	5401	5509	4340	4427	4515	4606	4698	4792	4888	4985	5085	5187	5291	5396	16	16	16	16	15	15	16	16	16	16	17	17
emissions	Included	Stationary Energy	Commercial	Local	Electricity	Commercial: Electric Vehicle Charging	0	0	0	0	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	8	15	20	24
emissions	Included	Stationary Energy	Commercial	Local	Gas (mains)	Commercial Cooking	1292	23.3	0	23	TJ	1292	1318	1344	1371	1399	1427	1455	1484	1514	1544	1575	1607	1292	1318	1344	1371	1399	1427	1455	1484	1514	1544	1575	1607	23	24	24	25	25	26	26	27	27	28	28	29	23	24	24	25	25	26	26	27	27	28	28	29
